Company,City,Zip,LWIB Area,Notice Date
21C Museum Hotel  ,Oklahoma City  ,73106  ,66  ,05/22/2020 
Apergy  ,Claremore  ,74019  ,07  ,04/28/2020 
Baker Hughes  ,Oklahoma City  ,73114  ,66  ,04/15/2020 
Black Mountain Sand  ,Fay  ,73646  ,67  ,06/08/2020 
Cameron Drilling  ,Moore  ,73160  ,66  ,04/23/2020 
EAN Services  ,Tulsa  ,74134  ,12  ,04/27/2020 
Energy Transfer  ,Tulsa  ,74136  ,12  ,01/06/2020 
Enterprise Holdings  ,Tulsa  ,74134  ,12  ,04/27/2020 
Enterprise Holdings  ,Tulsa  ,74134  ,12  ,06/22/2020 
Everi  ,Oklahoma City  ,73179  ,66  ,03/23/2020 
Halliburton  ,Pocasset  ,73079  ,06  ,04/15/2020 
Halliburton  ,Duncan  ,73536  ,06  ,04/06/2020 
"Halliburton Energy Services, Inc.  ",Duncan  ,73533  ,06  ,04/28/2020 
Hertz  ,Oklahoma City  ,73134  ,66  ,04/28/2020 
Hyatt Corporation  ,Moore  ,73160  ,66  ,05/11/2020 
Hitch Enterprises  ,Guymon  ,73942  ,67  ,06/26/2020 
JC Penney  ,Tulsa  ,741356062  ,12  ,02/10/2020 
Mathis Brothers  ,Oklahoma City  ,73108  ,66  ,03/25/2020 
Mathis Brothers  ,Norman  ,73069  ,66  ,03/25/2020 
Mathis Brothers  ,Tulsa  ,74133  ,12  ,03/25/2020 
Mathis Brothers  ,Lawton  ,73505  ,06  ,03/25/2020 
"NexTier Completion Solutions, Inc  ",El Reno  ,73036  ,66  ,4/9/2020
Regal Cinemas  ,Moore  ,73160  ,66  ,04/29/2020 
Regal Cinemas  ,Broken Arrow  ,74011  ,12  ,04/29/2020 
Regal Cinemas  ,Midwest City  ,73110  ,66  ,04/29/2020 
SandRidge Energy  ,Oklahoma City  ,73102  ,66  ,05/28/2020 
SandRidge Energy  ,Oklahoma City  ,73102  ,66  ,02/04/2020 
SandRidge Energy  ,Oklahoma City  ,73102  ,66  ,04/17/2020 
SandRidge Energy  ,Oklahoma City  ,73102  ,66  ,04/16/2020 
"Signal Peak Silica, LLC  ",Oakwood  ,73658  ,67  ,03/30/2020 
Skirvin Hilton  ,Oklahoma City  ,731029003  ,05  ,06/26/2020 
Spirit Aerosystems  ,McAlester  ,74501  ,08  ,01/23/2020 
Step Energy Services  ,McAlester  ,74501  ,08  ,03/31/2020 
Stone Trucking Company  ,Kiefer  ,74041  ,12  ,06/03/2020 
Triumph Aerospace Structures  ,Tulsa  ,74115  ,12  ,05/08/2020 
Tulsa Auto Auction  ,Tulsa  ,74115  ,12  ,03/23/2020 
umicore Autocat USA  ,Catoosa  ,74015  ,07  ,05/04/2020 
"Vallourec Star, LP  ",Muskogee  ,74403  ,10  ,04/06/2020 
