Notice Date,Date Received,Company,Location of Layoffs,Number Affected,Effective Date,Closing,Union
,,Newport Marriot *,Newport,186,3/14/2020,No,No
,,The Preservation Society of Newport County *,Newport,231,5/29/2020,No,No
,,Hotel Viking*,Newport,72,5/7/2020,No,No
,4/27/2020,Bloomin Brands*,RI,136,3/16/2020,No,No
,4/21/2020,Eastern Speciality/Check n GO*,RI,5,4/21/2020,No,No
4/20/2020,4/23/2020,CB Chadwick-BaRoss*,West Warwick,1,4/20/2020,No,No
4/6/2020,4/14/2020,Massage Envy*,Cranston,51,3/16/2020,No,No
4/4/2020,4/4/2020,Moo*,Lincoln,110,4/6/2020,No,No
3/26/2020,3/27/2020,The Vanderbuilt*,Newport,37,3/26/2020,No,No
3/26/2020,3/23/2020,Highgate*,Providence,146,3/8/2020,No,Yes
3/20/2020,3/20/2020,Greystone*,Lincoln,87,3/20/2020,No,No
3/19/2020,3/23/2020,HM Host*,Warwick,110,3/16/2020,No,No
