Notice Date,Company,Number to Employees Affected ,Effective Layoff Date,Code Type
9-Jun-20,JW Marriott Washington DC,376,3/16/2020,1
9-Jun-20,"Residence Inn Washington DC, Downtown",56,3/13/2020,1
8-Jun-20,Marriott Washington Wardman Park,731,3/14/2020,1
8-Jun-20,The W Hotel,351,3/14/2020,1
5-Jun-20,Washington Marriott Georgetown,176,3/16/2020,1
5-Jun-20,The Ritz,361,3/16/2020,1
4-Jun-20,The Mayflower Hotel,426,3/20/2020,1
2-Jun-20,St. Regis,2020,3/7/2020,1
1-Jun-20,Westin Georgetown,96,3/16/2020,1
21-May-20,Embassy Suites Chevy Chase,60,3/16/2020,1
6-May-20,Medical Facility Associates,136,7/5/2020,1
"May 2 and 5, 2020","Barcelona Restaurants, LLC",151,3/26/2020,1
6-Apr-20,MomoFuku,67,4/6/2020,1
3-Apr-20,Trump Interational Hotel,237,4/3/2020,1
30-Mar-20,Thunder Grill,41,3/16/2020,1
30-Mar-20,Sequoia,128,3/16/2020,1
27-Mar-20,Le Diplomate,244,3/16/2020,1
23-Mar-20,Boquiera,152,"March 20,2020",2
26-Mar-20,Embassy Row,67,3/26/2020,1
20-Mar-20,Four Seasons Hotel,413,3/23/2020,1
20-Mar-20,Mynd Salon and Spa,82,3/19/2020,2
20-Mar-20,St. Anselm,96,3/23/2020,2
19-Mar-20,Gregorys Coffee Management LLC,30,3/19/2020,1
18-Mar-20,Carmines DC LLC,152,3/16/2020,1
14-Mar-20,Sydell Hotel LLC,58,3/16/2020,1
